Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1961-01-01,5.1013803440871,5.09079995204622,0.0105803920408803,-3.95972377758585,,Parameter Point Estimates,,,,,,,,,,1961-01-01,1.50902524825571,0.802817284801141,0.542288753756646,,-3.27995170422762
1961-04-01,5.42725612593614,5.40633417363322,0.0209219523029224,-3.84461615147075,,a_1,a_2,a_3,b_1,b_2,sigma_1,sigma_2,sigma_4,a_1 + a_2,,1961-04-01,1.51766559592711,0.801274858691826,0.529252184866235,,-3.5558353216703
1961-07-01,5.35059730853488,5.32778441075339,0.0228128977814835,-3.16563263775811,,1.47762297971542,-0.535495398756491,-0.0755021972447778,0.635808868284,0.067761525541475,0.402140225436529,0.872134631455081,0.550987645748489,0.942127580958926,,1961-07-01,1.52256510552114,0.800883740977882,0.517642787245567,,-3.52008173767666
1961-10-01,5.26184982679318,5.24345706664163,0.0183927601515456,-2.44374866730311,,T Statistics,,,,,,,,,,1961-10-01,1.51903459755849,0.801463008461247,0.507284281648255,,-3.35104837631768
1962-01-01,5.05057095659633,5.03273482537832,0.0178361312180175,-1.58661719719919,,13.2359424084094,4.70036055352177,4.03624389492466,15.2963396107986,2.59399146923236,3.93149985410617,34.0792336427599,7.77891654405485,,,1962-01-01,1.50072502531338,0.802785857093923,0.49793538873822,,-3.33609897714642
1962-04-01,4.51237856109265,4.50646579461687,0.005912766475778,-0.886303358739383,,,,,,,,,,,,1962-04-01,1.46756520902599,0.804628826224897,0.489333451527696,,-2.85069484088257
1962-07-01,4.36787033052851,4.3672011916722,0.000669138856302034,-0.491124549817528,,,,,,,,,,,,1962-07-01,1.43690535402488,0.806817569212898,0.481310470106981,,-2.60225619780077
1962-10-01,3.92282518762787,3.94199776498508,-0.0191725773572091,-0.261250526832555,,Average Standard Errors,,,,,,,,,,1962-10-01,1.42656393805937,0.80922651211285,0.473680900166171,,-2.10042891668069
1963-01-01,3.89801476563755,3.9125553380505,-0.0145405724129583,-0.0557325338061219,,y*,r*,g,,,,,,,,1963-01-01,1.41907409802161,0.811840767269481,0.466549598001537,,-2.04002752467152
1963-04-01,3.86476427432998,3.87630959967578,-0.0115453253458034,0.204449611169821,,1.65429266306007,1.08909466161572,0.417352625022636,,,,,,,,1963-04-01,1.41543954336676,0.814673921421218,0.459957747553455,,-1.9998338095528
1963-07-01,4.15851929018771,4.15810791113228,0.000411379055429368,0.577354942874763,,,,,,,,,,,,1963-07-01,1.39262120846514,0.81779554456596,0.454045443991645,,-1.91709523570316
1963-10-01,3.91497436037017,3.91226229414026,0.00271206622991321,1.0178791872155,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,1963-10-01,1.40031572525566,0.82117987524318,0.448675758075968,,-1.87725164248983
1964-01-01,4.17769042184905,4.16961523484157,0.00807518700748503,1.25681806211867,,Draws excluded:,,275,Total:,5000,,,,,,1964-01-01,1.38538145839223,0.824888465754292,0.444124125415457,,-2.22870307790934
1964-04-01,4.09170684078236,4.09995380795483,-0.00824696717246156,1.47795104420618,,Percent excluded:,,0.0521327014218009,,,,,,,,1964-04-01,1.38660318441528,0.828806942073388,0.440045790987852,,-2.06664917563914
1964-07-01,4.17028816518336,4.18542196687981,-0.0151338016964425,1.65511169200022,,Draws excluded because a_3 > -0.0025:,,,,0,,,,,,1964-07-01,1.38609697373039,0.832970238744453,0.436618718997191,,-2.03890878810213
1964-10-01,3.93218410100923,3.96680819976643,-0.0346240987572024,1.6771772657147,,Draws excluded because b_2 <  0.025:,,,,271,,,,,,1964-10-01,1.40155121572496,0.837274973933411,0.433665989617856,,-1.35091435144641
1965-01-01,4.2739029123176,4.28773540568302,-0.013832493365421,1.89457798198362,,Draws excluded because a_1 + a_2 < 1:,,,,4,,,,,,1965-01-01,1.39681203185126,0.841813654139329,0.431483619793185,,-1.36573776515241
1965-04-01,4.24994964615403,4.2718397587022,-0.0218901125481628,2.11041312006921,,,,,,,,,,,,1965-04-01,1.40727137759873,0.846342919882738,0.429327022195468,,-1.24590519508372
1965-07-01,4.47619318667619,4.49363212324629,-0.0174389365701017,2.34712214938975,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,1965-07-01,1.42804628664808,0.850946149156945,0.427450139767723,,-1.5048950263969
1965-10-01,4.67393358340252,4.68527548503447,-0.011341901631947,2.72405778509847,,lambda_g,0.0614487977912003,,,-589.768810386214,,,,,,1965-10-01,1.4758119622642,0.855497019603181,0.425420041156057,,-1.68697255138508
1966-01-01,4.88640927660323,4.87143378797165,0.0149754886315713,3.2661800417319,,lambda_z,0.0244615940816081,,,,,,,,,1966-01-01,1.5466012312979,0.859974803471401,0.423178790659392,,-1.60861529073926
1966-04-01,4.66642663104926,4.61496982446911,0.0514568065801504,3.62072722934511,,,,,,,,,,,,1966-04-01,1.53175775307524,0.864316951450354,0.420765222211126,,-1.50619124387579
1966-07-01,4.65016943160507,4.58345347587245,0.0667159557326235,3.50084567363297,,,,,,,,,,,,1966-07-01,1.53523061196851,0.868690552689689,0.418815043251877,,-1.47151121359509
1966-10-01,4.63558827210591,4.55598890494313,0.0795993671627765,3.33675841870308,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t-1} g_{t-2} z_{t-1} z_{t-2}],,,,,,,,,,1966-10-01,1.54493440091515,0.872971913449327,0.417021422550592,,-1.82875045331247
1967-01-01,4.59116933591071,4.56546932394721,0.0257000119634952,2.85431066840749,,Initial State Vector,,,,,,,,,,1967-01-01,1.55588637245636,0.877125138817668,0.415318231696847,,-2.62665794390406
